,code
1,0
10,1
100,2
1000,3
1001,4
1002,5
1003,6
1004,7
1005,8
1006,9
1007,10
1008,11
1009,12
101,13
1010,14
1011,15
1012,16
1013,17
1014,18
1015,19
1016,20
1017,21
1018,22
1019,23
102,24
1020,25
1021,26
1022,27
1023,28
1024,29
1025,30
1026,31
1027,32
1029,33
103,34
1031,35
1032,36
1033,37
1034,38
1035,39
1036,40
1037,41
1038,42
1039,43
104,44
1040,45
1041,46
1042,47
1043,48
1044,49
1046,50
1047,51
1049,52
105,53
1050,54
1051,55
1052,56
1053,57
1054,58
1055,59
1056,60
1057,61
1058,62
1059,63
106,64
1060,65
1061,66
1062,67
1063,68
1064,69
1065,70
1066,71
1067,72
1068,73
1069,74
107,75
1070,76
1071,77
1072,78
1074,79
1075,80
1076,81
1077,82
1078,83
1079,84
108,85
1080,86
1081,87
1082,88
1083,89
1084,90
1085,91
1086,92
1087,93
1088,94
1089,95
109,96
1090,97
1091,98
1092,99
1093,100
1094,101
1095,102
1096,103
1098,104
1099,105
11,106
110,107
1101,108
1102,109
1103,110
1104,111
1105,112
1106,113
1107,114
1108,115
111,116
1110,117
1111,118
1112,119
1113,120
1114,121
1115,122
1116,123
1117,124
1119,125
112,126
1120,127
1121,128
1122,129
1123,130
1124,131
1129,132
113,133
1130,134
1133,135
1134,136
1135,137
1136,138
1137,139
1139,140
114,141
1140,142
1141,143
1144,144
1145,145
1146,146
1147,147
1148,148
1149,149
115,150
1150,151
1151,152
1153,153
1155,154
1156,155
1157,156
1158,157
1159,158
116,159
1160,160
1165,161
1166,162
1167,163
1168,164
1169,165
117,166
1170,167
1171,168
1172,169
1173,170
1174,171
1175,172
1176,173
1177,174
1179,175
118,176
1182,177
1183,178
1184,179
1188,180
1189,181
119,182
1190,183
1191,184
1192,185
1193,186
1194,187
1195,188
1197,189
1198,190
1199,191
12,192
120,193
1200,194
1201,195
1202,196
1203,197
1204,198
1205,199
1206,200
1207,201
1208,202
1209,203
121,204
1210,205
1211,206
1212,207
1213,208
1214,209
1216,210
1217,211
1218,212
1219,213
122,214
1220,215
1222,216
1223,217
1224,218
1226,219
1227,220
123,221
1230,222
1231,223
1232,224
1233,225
1235,226
1237,227
1238,228
1239,229
124,230
1240,231
1241,232
1242,233
1243,234
1245,235
1246,236
1247,237
1248,238
1249,239
125,240
1250,241
