,code
-1,0
Aberdeen City,1
Aberdeenshire,2
Angus,3
Argyll & Bute,4
Barking and Dagenham,5
Barnet,6
Barnsley,7
Bath and North East Somerset,8
Bedford,9
Bexley,10
Birmingham,11
Blackburn with Darwen,12
Blackpool,13
Blaenau Gwent,14
Bolton,15
Bournemouth,16
Bracknell Forest,17
Bradford,18
Brent,19
Bridgend,20
Brighton and Hove,21
"Bristol, City of",22
Bromley,23
Buckinghamshire,24
Bury,25
Caerphilly,26
Calderdale,27
Cambridgeshire,28
Camden,29
Cardiff,30
Carmarthenshire,31
Central Bedfordshire,32
Ceredigion,33
Cheshire East,34
Cheshire West and Chester,35
City of London,36
Clackmannanshire,37
Conwy,38
Cornwall,39
County Durham,40
Coventry,41
Croydon,42
Cumbria,43
Darlington,44
Denbighshire,45
Derby,46
Derbyshire,47
Devon,48
Doncaster,49
Dorset,50
Dudley,51
Dumfries & Galloway,52
Dundee City,53
Ealing,54
East Ayrshire,55
East Dunbartonshire,56
East Lothian,57
East Renfrewshire,58
East Riding of Yorkshire,59
East Sussex,60
"Edinburgh, City of",61
Enfield,62
Essex,63
Falkirk,64
Fife,65
Flintshire,66
Gateshead,67
Glasgow City,68
Gloucestershire,69
Greenwich,70
Gwynedd,71
Hackney,72
Halton,73
Hammersmith and Fulham,74
Hampshire,75
Haringey,76
Harrow,77
Hartlepool,78
Havering,79
"Herefordshire, County of ",80
Hertfordshire,81
Highland,82
Hillingdon,83
Hounslow,84
Inverclyde,85
Isle of Anglesey,86
Isle of Wight,87
Islington,88
Kensington and Chelsea,89
Kent,90
"Kingston upon Hull, City of",91
Kingston upon Thames,92
Kirklees,93
Knowsley,94
Lambeth,95
Lancashire,96
Leeds,97
Leicester,98
Leicestershire,99
Lewisham,100
Lincolnshire,101
Liverpool,102
London Airport (Heathrow),103
Luton,104
Manchester,105
Medway,106
Merthyr Tydfil,107
Merton,108
Middlesbrough,109
Midlothian,110
Milton Keynes,111
Monmouthshire,112
Moray,113
Na h-Eileanan an Iar (Western Isles),114
Neath Port Talbot,115
Newcastle upon Tyne,116
Newham,117
Newport,118
Norfolk,119
North Ayrshire,120
North East Lincolnshire,121
North Lanarkshire,122
North Lincolnshire,123
North Somerset,124
North Tyneside,125
North Yorkshire,126
Northamptonshire,127
Northumberland,128
Nottingham,129
Nottinghamshire,130
Oldham,131
Orkney Islands,132
Oxfordshire,133
Pembrokeshire,134
Perth and Kinross,135
Peterborough,136
Plymouth,137
Poole,138
Portsmouth,139
Powys,140
Reading,141
Redbridge,142
Redcar and Cleveland,143
Renfrewshire,144
"Rhondda, Cynon, Taff",145
Richmond upon Thames,146
Rochdale,147
Rotherham,148
Rutland,149
Salford,150
Sandwell,151
Scottish Borders,152
Sefton,153
Sheffield,154
Shetland Islands,155
Shropshire,156
Slough,157
Solihull,158
Somerset,159
South Ayrshire,160
South Gloucestershire,161
South Lanarkshire,162
South Tyneside,163
Southampton ,164
Southend-on-Sea,165
Southwark,166
St. Helens,167
Staffordshire,168
Stirling,169
Stockport,170
Stockton-on-Tees,171
Stoke-on-Trent,172
Suffolk,173
Sunderland,174
Surrey,175
Sutton,176
Swansea,177
Swindon,178
Tameside,179
Telford and Wrekin,180
The Vale of Glamorgan,181
Thurrock,182
Torbay,183
Torfaen,184
Tower Hamlets,185
Trafford,186
Wakefield,187
Walsall,188
Waltham Forest,189
Wandsworth,190
Warrington,191
Warwickshire,192
West Berkshire,193
West Dunbartonshire,194
West Lothian,195
West Sussex,196
Westminster,197
Wigan,198
Wiltshire,199
Windsor and Maidenhead,200
Wirral,201
Wokingham,202
Wolverhampton,203
Worcestershire,204
Wrexham,205
York,206
