,code
Avon and Somerset,0
Bedfordshire,1
Cambridgeshire,2
Central,3
Cheshire,4
City of London,5
Cleveland,6
Cumbria,7
Derbyshire,8
Devon and Cornwall,9
Dorset,10
Dumfries and Galloway,11
Durham,12
Dyfed-Powys,13
Essex,14
Fife,15
Gloucestershire,16
Grampian,17
Greater Manchester,18
Gwent,19
Hampshire,20
Hertfordshire,21
Humberside,22
Kent,23
Lancashire,24
Leicestershire,25
Lincolnshire,26
Lothian and Borders,27
Merseyside,28
Metropolitan Police,29
Norfolk,30
North Wales,31
North Yorkshire,32
Northamptonshire,33
Northern,34
Northumbria,35
Nottinghamshire,36
South Wales,37
South Yorkshire,38
Staffordshire,39
Strathclyde,40
Suffolk,41
Surrey,42
Sussex,43
Tayside,44
Thames Valley,45
Warwickshire,46
West Mercia,47
West Midlands,48
West Yorkshire,49
Wiltshire,50
