,code
1.0,0
10.0,1
100.0,2
1000.0,3
1001.0,4
1002.0,5
1003.0,6
1004.0,7
1006.0,8
1007.0,9
1008.0,10
1009.0,11
101.0,12
1010.0,13
1011.0,14
1012.0,15
1013.0,16
1014.0,17
1015.0,18
1016.0,19
1018.0,20
1019.0,21
102.0,22
1020.0,23
1022.0,24
1024.0,25
1025.0,26
1027.0,27
1028.0,28
1029.0,29
103.0,30
1031.0,31
1032.0,32
1033.0,33
1035.0,34
1036.0,35
1037.0,36
1039.0,37
104.0,38
1040.0,39
1041.0,40
1042.0,41
1044.0,42
1045.0,43
1046.0,44
1049.0,45
105.0,46
1051.0,47
1053.0,48
1055.0,49
1056.0,50
1058.0,51
1059.0,52
106.0,53
1060.0,54
1063.0,55
1064.0,56
1065.0,57
1067.0,58
1068.0,59
1069.0,60
107.0,61
1071.0,62
1072.0,63
1074.0,64
1075.0,65
1077.0,66
1078.0,67
1079.0,68
108.0,69
1080.0,70
1081.0,71
1083.0,72
1085.0,73
1086.0,74
1089.0,75
109.0,76
1092.0,77
1093.0,78
1095.0,79
1096.0,80
1099.0,81
11.0,82
110.0,83
1101.0,84
1105.0,85
1108.0,86
111.0,87
1112.0,88
1113.0,89
1114.0,90
1115.0,91
1117.0,92
1119.0,93
112.0,94
1120.0,95
1121.0,96
1122.0,97
1124.0,98
113.0,99
1130.0,100
1131.0,101
1134.0,102
1135.0,103
1137.0,104
1138.0,105
1139.0,106
114.0,107
1140.0,108
1141.0,109
1144.0,110
1145.0,111
1146.0,112
1149.0,113
1150.0,114
1151.0,115
1152.0,116
1153.0,117
1155.0,118
1156.0,119
1158.0,120
116.0,121
1160.0,122
1161.0,123
1165.0,124
1166.0,125
1167.0,126
1168.0,127
1169.0,128
117.0,129
1170.0,130
1171.0,131
1172.0,132
1173.0,133
1174.0,134
1176.0,135
1178.0,136
118.0,137
1182.0,138
1184.0,139
1188.0,140
1189.0,141
119.0,142
1190.0,143
1191.0,144
1192.0,145
1195.0,146
1197.0,147
1198.0,148
1199.0,149
12.0,150
120.0,151
1200.0,152
1201.0,153
1202.0,154
1203.0,155
1204.0,156
1205.0,157
1206.0,158
1207.0,159
1208.0,160
1209.0,161
121.0,162
1210.0,163
1211.0,164
1212.0,165
1213.0,166
1214.0,167
1216.0,168
1219.0,169
122.0,170
1220.0,171
1224.0,172
1225.0,173
1226.0,174
1227.0,175
123.0,176
1230.0,177
1231.0,178
1232.0,179
1233.0,180
1234.0,181
1235.0,182
1237.0,183
1238.0,184
124.0,185
1240.0,186
1241.0,187
1242.0,188
1243.0,189
1245.0,190
1246.0,191
1248.0,192
1249.0,193
125.0,194
1256.0,195
1257.0,196
126.0,197
1260.0,198
1261.0,199
1262.0,200
1268.0,201
1269.0,202
127.0,203
1270.0,204
1272.0,205
1273.0,206
1275.0,207
1277.0,208
128.0,209
1281.0,210
1284.0,211
1287.0,212
1288.0,213
129.0,214
1290.0,215
1293.0,216
1294.0,217
1296.0,218
1297.0,219
1298.0,220
1299.0,221
13.0,222
130.0,223
1300.0,224
1301.0,225
1302.0,226
1303.0,227
1305.0,228
1306.0,229
1307.0,230
1308.0,231
1309.0,232
1311.0,233
1312.0,234
1313.0,235
1318.0,236
132.0,237
1320.0,238
1321.0,239
1328.0,240
133.0,241
1331.0,242
1333.0,243
1334.0,244
1335.0,245
1336.0,246
1337.0,247
134.0,248
1347.0,249
135.0,250
1350.0,251
1352.0,252
1354.0,253
1355.0,254
1359.0,255
1360.0,256
1362.0,257
1363.0,258
1364.0,259
1365.0,260
137.0,261
1370.0,262
1376.0,263
1378.0,264
138.0,265
1380.0,266
1383.0,267
139.0,268
1393.0,269
1396.0,270
1397.0,271
1398.0,272
14.0,273
140.0,274
1400.0,275
1402.0,276
1404.0,277
1405.0,278
141.0,279
1411.0,280
1414.0,281
1418.0,282
1419.0,283
142.0,284
1426.0,285
1427.0,286
1428.0,287
143.0,288
1430.0,289
1433.0,290
1434.0,291
144.0,292
1443.0,293
1444.0,294
145.0,295
1450.0,296
1451.0,297
1452.0,298
1453.0,299
1458.0,300
146.0,301
1460.0,302
1462.0,303
1464.0,304
147.0,305
148.0,306
149.0,307
15.0,308
150.0,309
1500.0,310
1501.0,311
1505.0,312
1508.0,313
151.0,314
1514.0,315
1516.0,316
1517.0,317
152.0,318
1520.0,319
1522.0,320
1523.0,321
1527.0,322
153.0,323
1531.0,324
1532.0,325
154.0,326
155.0,327
156.0,328
157.0,329
158.0,330
159.0,331
16.0,332
160.0,333
1600.0,334
161.0,335
162.0,336
164.0,337
165.0,338
166.0,339
167.0,340
168.0,341
169.0,342
17.0,343
170.0,344
171.0,345
172.0,346
174.0,347
175.0,348
176.0,349
177.0,350
178.0,351
179.0,352
18.0,353
180.0,354
181.0,355
182.0,356
183.0,357
184.0,358
185.0,359
186.0,360
187.0,361
188.0,362
189.0,363
19.0,364
190.0,365
191.0,366
192.0,367
193.0,368
194.0,369
195.0,370
196.0,371
197.0,372
198.0,373
199.0,374
2.0,375
20.0,376
200.0,377
2000.0,378
2004.0,379
2007.0,380
201.0,381
2010.0,382
2011.0,383
2014.0,384
2015.0,385
2016.0,386
2018.0,387
202.0,388
2021.0,389
2022.0,390
2023.0,391
2026.0,392
2028.0,393
2029.0,394
203.0,395
2030.0,396
2031.0,397
2032.0,398
2033.0,399
2034.0,400
2036.0,401
2039.0,402
204.0,403
2040.0,404
2041.0,405
2042.0,406
2043.0,407
2044.0,408
2045.0,409
2046.0,410
2047.0,411
205.0,412
2050.0,413
2051.0,414
2052.0,415
2053.0,416
2054.0,417
206.0,418
2064.0,419
2066.0,420
2068.0,421
207.0,422
2070.0,423
2075.0,424
208.0,425
2080.0,426
2089.0,427
209.0,428
2092.0,429
2093.0,430
2096.0,431
2098.0,432
21.0,433
210.0,434
2100.0,435
2101.0,436
2102.0,437
2104.0,438
2106.0,439
2108.0,440
2109.0,441
211.0,442
2110.0,443
2111.0,444
2112.0,445
2113.0,446
2115.0,447
2116.0,448
2119.0,449
212.0,450
2120.0,451
2122.0,452
2123.0,453
2126.0,454
2128.0,455
213.0,456
2132.0,457
2138.0,458
2139.0,459
214.0,460
2140.0,461
2142.0,462
2145.0,463
2146.0,464
2147.0,465
2148.0,466
2149.0,467
215.0,468
2150.0,469
2151.0,470
2152.0,471
2154.0,472
2155.0,473
2158.0,474
2159.0,475
216.0,476
2163.0,477
2166.0,478
2167.0,479
217.0,480
2174.0,481
2177.0,482
2178.0,483
218.0,484
2180.0,485
2182.0,486
2183.0,487
2185.0,488
2186.0,489
2187.0,490
219.0,491
2191.0,492
2192.0,493
2193.0,494
2194.0,495
2195.0,496
2198.0,497
2199.0,498
22.0,499
220.0,500
2200.0,501
2201.0,502
2202.0,503
2203.0,504
2204.0,505
2205.0,506
2206.0,507
2207.0,508
2208.0,509
2209.0,510
221.0,511
2210.0,512
2211.0,513
2212.0,514
2213.0,515
2214.0,516
2215.0,517
2216.0,518
2217.0,519
2218.0,520
2219.0,521
222.0,522
2220.0,523
2223.0,524
2227.0,525
223.0,526
2230.0,527
2237.0,528
224.0,529
2244.0,530
2247.0,531
225.0,532
226.0,533
2260.0,534
227.0,535
228.0,536
2280.0,537
229.0,538
2290.0,539
23.0,540
230.0,541
231.0,542
232.0,543
2327.0,544
234.0,545
235.0,546
236.0,547
237.0,548
238.0,549
239.0,550
24.0,551
240.0,552
241.0,553
242.0,554
243.0,555
2430.0,556
244.0,557
245.0,558
246.0,559
247.0,560
248.0,561
249.0,562
25.0,563
250.0,564
2500.0,565
251.0,566
254.0,567
255.0,568
256.0,569
258.0,570
259.0,571
26.0,572
260.0,573
261.0,574
263.0,575
264.0,576
